t+5,t+6,t+7,t+8
178.0,0.0,0.0,452.0
0.0,0.0,452.0,227.0
0.0,452.0,227.0,0.0
452.0,227.0,0.0,228.0
227.0,0.0,228.0,0.0
0.0,228.0,0.0,0.0
228.0,0.0,0.0,0.0
66.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,16.5
0.0,0.0,16.5,0.0
0.0,16.5,0.0,0.0
16.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,50.0
0.0,0.0,50.0,0.0
0.0,50.0,0.0,0.0
50.0,0.0,0.0,38.0
0.0,0.0,38.0,32.62
0.0,38.0,32.62,43.33
38.0,32.62,43.33,0.0
32.62,43.33,0.0,0.0
43.33,0.0,0.0,171.38
0.0,0.0,171.38,0.0
0.0,171.38,0.0,0.0
171.38,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,193.0
0.0,0.0,193.0,0.0
0.0,193.0,0.0,0.0
193.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,38.62
0.0,0.0,38.62,0.0
0.0,38.62,0.0,0.0
38.62,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,43.5
0.0,0.0,43.5,38.5
0.0,43.5,38.5,0.0
43.5,38.5,0.0,0.0
38.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,22.05
0.0,0.0,22.05,0.0
0.0,22.05,0.0,0.0
22.05,0.0,0.0,15.0
0.0,0.0,15.0,63.5
0.0,15.0,63.5,0.0
15.0,63.5,0.0,0.0
63.5,0.0,0.0,0.0
0.0,0.0,0.0,32.0
0.0,0.0,32.0,0.0
0.0,32.0,0.0,0.0
32.0,0.0,0.0,64.0
0.0,0.0,64.0,17.0
0.0,64.0,17.0,0.0
64.0,17.0,0.0,0.0
17.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,18.0
0.0,0.0,18.0,47.0
0.0,18.0,47.0,0.0
18.0,47.0,0.0,0.0
47.0,0.0,0.0,0.0
0.0,0.0,0.0,15.13
0.0,0.0,15.13,0.0
0.0,15.13,0.0,1.87
15.13,0.0,1.87,1.0
0.0,1.87,1.0,0.0
1.87,1.0,0.0,13.0
1.0,0.0,13.0,64.5
0.0,13.0,64.5,0.0
13.0,64.5,0.0,0.0
64.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
